Tier,Name,BibTex (Unverified),Dependencies,Relationship,Category,Encoder / Decoder,Description,Key Technique,Architecture,(Pre)-training Objective
1,BEiT,bao2021beit,ViT,Extends,Vision Model,Encoder,"A self-supervised vision model that treats image patches like text tokens, introducing a BERT-like pre-training approach for the visual domain.",Introduces masked image modeling for vision transformers.,"Standard Transformer encoder. Instead of raw pixels, it uses a discrete variational autoencoder (dVAE) to tokenize images into visual tokens.","Masked Image Modeling (MIM). The model predicts the discrete visual tokens of masked image patches, similar to how BERT predicts masked words."
1,BART,lewis2019bart,BERT; GPT,Uses; Uses,Language Model,Encoder + Decoder,A denoising autoencoder for pretraining sequence-to-sequence models. It combines the bidirectional encoding of BERT with the autoregressive decoding of GPT.,Pre-trained by corrupting text with an arbitrary noising function and learning to reconstruct the original.,"Standard Transformer encoder-decoder architecture. The encoder processes the corrupted text bidirectionally, and the decoder generates the original text autoregressively.","Sequence-to-sequence denoising. Text is corrupted via multiple noise functions (token masking, token deletion, text infilling, sentence permutation, document rotation). The model must reconstruct the original clean text."
1,GPT,brown2020language,Transformer,Uses,Language Model,Decoder,"The foundational causal language model series. By predicting the next word on massive datasets, it demonstrated that unsupervised learning produces highly capable generalist language models.",Autoregressive generation of text.,"A Transformer decoder-only architecture. It uses masked self-attention to ensure that a token can only attend to previous tokens in the sequence, preserving the autoregressive property.","Unsupervised Next Token Prediction. Given a sequence of tokens, the model is trained to maximize the likelihood of predicting the correct subsequent token."
2,ColBERT,khattab2020colbert,BERT; MaxSim,Uses; Uses,Retrieval Model,Encoder,A dense retrieval model that resolves the tradeoff between efficiency and effectiveness by using 'late interaction' to calculate fine-grained similarity without feeding query-document pairs jointly through BERT.,Late interaction mechanism using MaxSim over token-level embeddings.,"Utilizes dual BERT encoders (one for queries, one for documents). Instead of pooling to a single vector, it outputs a matrix of token-level embeddings for both. Match score is computed via MaxSim.","Trained using a pairwise contrastive ranking loss, ensuring the positive document scores higher than sampled negative documents for a given query."
2,CLIP,radford2021learning,ViT; Transformer; InfoNCE,Uses; Uses; Uses,Vision-Language Model,Encoder,"A foundational multimodal model that learns highly robust, zero-shot transferable visual concepts by training on hundreds of millions of image-caption pairs scraped from the internet.",Aligns images and text in a joint embedding space using a massive batch size and contrastive loss.,Dual Encoder architecture: A Vision Encoder (ViT or ResNet) and a Text Encoder (Transformer). The pooled outputs of both are mapped to a shared multimodal embedding space.,Contrastive Language-Image Pre-training (InfoNCE). The model maximizes the cosine similarity of the correct image-text pairs while minimizing the similarity of millions of incorrect pairs in the batch.
2,Pix2Struct,lee2022pix2struct,ViT; Transformer,Uses; Uses,Vision-Language Model,Encoder + Decoder,A visually-situated language model designed to understand visually rich contexts like webpages by parsing screenshots into structured representations without relying on OCR.,Trained to parse masked screenshots of web pages into underlying HTML/structured representations.,"A ViT encoder processes the image, and a Transformer decoder generates the structured text. It handles variable-resolution images by adapting the patch grid dynamically.",Pre-trained via an objective called 'screenshot parsing' where it learns to reconstruct the masked HTML structure directly from a webpage screenshot.
2,SigLIP-SO400m,zhai2023sigmoid,CLIP; Sigmoid Contrastive Loss,Extends; Uses,Vision-Language Model,Encoder,"An advancement over CLIP that replaces the softmax loss with a sigmoid loss, allowing for vastly more efficient training and scaling up to larger models (like 400M parameters) with better performance.",Uses sigmoid contrastive loss to scale batch sizes infinitely and improve performance.,"Dual Encoder architecture identical in concept to CLIP (ViT for vision, Transformer for text), but optimized for sigmoid loss scaling.","Sigmoid Contrastive Learning. It treats every image-text pair in the batch as an independent binary classification problem, removing the global softmax bottleneck."
2,DPR,karpukhin2020dense,BERT,Uses,Retrieval Model,Encoder,The model that popularized dense retrieval for Open-Domain QA. It demonstrated that retrieving passages using dense neural embeddings could significantly outperform sparse algorithms like BM25.,Uses dual encoders to represent queries and passages as dense vectors and matches them via inner product.,Dual BERT encoders (Query Encoder and Passage Encoder). The [CLS] token representation is used as the dense 768-dimensional vector for both.,Trained using contrastive learning with in-batch negatives and hard negatives (passages retrieved by BM25 that don't contain the answer) to distinguish relevant from irrelevant passages.
2,LayoutLMv3,huang2022layoutlmv3,Transformer; ViT; BERT,Uses; Uses; Uses,Document Encoder Model,Encoder,"A state-of-the-art Document AI model that jointly models text, layout (bounding boxes), and image features in a single unified transformer, eliminating the need for complex CNN visual backbones.","Jointly models text, layout, and image embeddings using unified masked modeling objectives.","A multi-modal Transformer encoder. It takes three inputs: text tokens, 2D spatial coordinate embeddings (layout), and linear projections of image patches (vision).","Pre-trained with three objectives: Masked Language Modeling (MLM), Masked Image Modeling (MIM) predicting patch discrete tokens, and Word-Patch Alignment (WPA) to learn fine-grained cross-modal alignments."
3,LLaMA 3,touvron2023llama,Transformer; GPT,Uses; Extends,Language Model,Decoder,"Meta's highly optimized, open-weights large language model series. It achieves state-of-the-art performance through massive data scale (15T tokens) and architectural efficiency improvements.","Uses Grouped-Query Attention (GQA), RoPE embeddings, and SwiGLU activations with a 128k vocabulary.","Decoder-only transformer. Features Grouped-Query Attention (to reduce KV cache memory for long contexts), Rotary Positional Embeddings (RoPE) to model sequence order relatively, and SwiGLU activations.","Standard autoregressive next-token prediction, followed by extensive post-training alignment using Supervised Fine-Tuning (SFT) and Direct Preference Optimization (DPO)."
3,LLaVA,liu2023visual,LLaMA 3; CLIP; MLP Projector,Uses; Uses; Uses,Multimodal LLM,Decoder,"A pioneering model that bridges pre-trained vision encoders and large language models using a simple projection layer, enabling the LLM to 'see' and follow visual instructions.",Connects a frozen visual encoder (CLIP) to a frozen LLM (Llama) via a trainable projection layer.,Combines a pre-trained CLIP ViT visual encoder and a pre-trained LLM (like Vicuna/LLaMA). They are connected via a 2-layer MLP projection layer which maps visual patches to the LLM's text embedding space.,"Stage 1 (Feature Alignment): Freeze vision and LLM, train only the MLP projector using image-text pairs. Stage 2 (Visual Instruction Tuning): Freeze vision, train projector and LLM on GPT-4 generated multimodal instruction data."
3,RAG,lewis2020retrieval,DPR; BART,Uses; Uses,Framework,Encoder + Decoder,"The seminal framework that combines a neural retriever with a generative LLM, allowing the model to ground its answers in external, non-parametric knowledge bases to reduce hallucinations.",Combines a dense retriever (DPR) with a seq2seq generator (BART) to ground outputs in external knowledge.,Comprises a Retriever (Dense Passage Retriever with dual BERT encoders) and a Generator (BART-large encoder-decoder). The generator concatenates the query and the retrieved documents in its context window.,"End-to-end training using marginal log-likelihood. The Generator and Query Encoder are fine-tuned jointly to produce the correct answer, while the Document Index (FAISS) and Document Encoder are typically kept frozen."
3,InternViT-6B,chen2023internvl,ViT,Extends,Vision Model,Encoder,"A massive 6 billion parameter Vision Transformer designed to capture extremely high-resolution and robust visual features, bridging the parameter gap between vision and language models.","Scales ViT to 6 billion parameters for high-resolution, robust visual feature extraction.",An aggressively scaled-up Transformer encoder with modifications like improved layer scaling and RMSNorm to stabilize the training of a 6B parameter vision backbone.,Trained with a combination of Contrastive Learning (aligning with text) and generative Masked Image Modeling to ensure deep representation learning.
3,Qwen2-VL,wang2023qwen,Transformer; ViT,Uses; Uses,Multimodal LLM,Decoder,"A highly capable multimodal LLM from Alibaba. It natively supports dynamic resolution for images and videos, allowing it to process documents and UI screens without losing aspect ratios or fine details.","Supports dynamic resolution for images and videos, integrating them natively into the LLM context.",Integrates a Vision Encoder with dynamic resolution support (AnyRes) and a Qwen2 LLM decoder. It uses multi-layer perceptron projectors to map dynamic numbers of visual tokens into the language space.,"Multimodal Next Token Prediction. Trained extensively on interleaved image-text data, video-text data, and specifically curated visually rich document datasets."
3,InternVL2,chen2023internvl,InternViT-6B; LLaMA 3,Uses; Uses,Multimodal LLM,Decoder,An open-source Multimodal Foundation Model that leverages the massive InternViT-6B encoder and advanced LLMs (like LLaMA 3) to achieve closed-source level performance on document understanding.,"Aligns a massive vision encoder with advanced LLMs, capable of high-resolution document understanding.",Architecture pairs the massive InternViT-6B visual encoder with an LLM decoder (variable sizes up to 100B+). It dynamically splits high-resolution images into multiple 448x448 tiles to preserve detail.,Progressive training paradigm: 1. Vision-language alignment. 2. Pre-training on interleaved data. 3. Supervised fine-tuning on high-quality multimodal instruction data.
3,PaliGemma,beyer2024paligemma,SigLIP-SO400m; Gemma 2,Uses; Uses,Multimodal LLM,Encoder + Decoder,"Google's open Vision-Language Model optimized for fast and accurate multimodal tasks. It uses an unmasked, full-attention processing of images and text prompts.",Combines SigLIP vision encoder and Gemma language model.,Fuses a SigLIP-So400m vision encoder with a Gemma decoder model via a linear projection layer. The image tokens and text tokens are concatenated without any complex pooling.,"Joint multimodal pre-training on diverse tasks (captioning, VQA, detection) using standard cross-entropy loss, designed to be easily fine-tuned for downstream applications."
3,DocFormerv2,appalaraju2023docformerv2,Transformer,Uses,Document AI Model,Encoder + Decoder,A state-of-the-art model for visually rich documents that introduces an asymmetric pre-training approach to improve efficiency and performance over previous LayoutLM-style models.,Uses an asymmetric encoder-decoder where the encoder extracts joint features and a lightweight decoder reconstructs them.,"Features an asymmetric Transformer Encoder-Decoder. The heavy encoder processes multimodal inputs (text, vision, layout), while a very shallow decoder is used strictly during pre-training for reconstruction.","Asymmetric Masked Modeling. The model is trained to reconstruct masked tokens and visual patches. The decoder is discarded after pre-training, leaving a highly efficient encoder for downstream tasks."
3,Gemma 2,gemma2team2024gemma,Transformer; Gemma; Gemini; GQA; RoPE; RMSNorm,Uses; Extends; Distilled from; Uses; Uses; Uses,Language Model,Decoder,"A high-performance series of open-weights LLMs from Google (2B, 9B, 27B). It is designed to punch above its weight class by using a massive teacher model (Gemini) for knowledge distillation and a more complex attention architecture than its predecessor.","Interleaved Local-Global Attention, Logit Soft-capping, and Large-Scale Knowledge Distillation.","A decoder-only Transformer that alternates between Local Sliding Window Attention (window size 4096) and Global Attention (8192 span) in every other layer. It features logit soft-capping (tanh-based) in attention and final layers to prevent logit drift, uses Grouped-Query Attention (GQA), and applies RMSNorm for both pre- and post-normalization to stabilize deep training.",Autoregressive Next-Token Prediction combined with Knowledge Distillation. Smaller models (2B/9B) are trained by minimizing the negative log-likelihood (NLL) between their output probabilities and the probabilities of a larger Gemini teacher model across trillions of tokens.
4,ColPali,faysse2024colpali,ColBERT; PaliGemma,Extends; Uses,Retrieval Model,Encoder,A novel vision-retrieval model for documents that completely bypasses OCR. It applies ColBERT's late interaction directly to the visual patch embeddings of document pages.,"Applies late interaction directly to image patches of document pages, bypassing OCR.",Uses the PaliGemma vision encoder (SigLIP-based) combined with a ColBERT-style late interaction mechanism. The image patches are directly mapped to a token-level embedding space without generating text.,Contrastive learning using InfoNCE loss combined with Late Interaction (MaxSim). It aligns user text queries directly with the raw visual image patches of document pages.
4,CoT,wei2022chain,GPT,Prompting Strategy,Prompting Framework,N/A,"Chain-of-Thought Prompting. A paradigm shift in how LLMs are queried, significantly boosting reasoning capabilities by forcing the model to articulate intermediate logical steps.",Prompts the LLM to explicitly output step-by-step reasoning before generating the final answer.,N/A,N/A
4,Vicuna,chiang2023vicuna,LLaMA 3,Extends,Language Model,Decoder,"An open-source chatbot trained by fine-tuning LLaMA models on user-shared conversations collected from ShareGPT, proving that high-quality conversational data can rapidly align base models.",Fine-tuned LLaMA on user-shared conversations.,Identical to the base LLaMA architecture (Decoder-only Transformer). The difference lies entirely in the post-training alignment data.,Supervised Fine-Tuning (SFT) on approximately 70K high-quality user-shared conversations to learn human-like dialogue patterns and instruction following.
4,MinerU,mineru2024,Transformer; ViT,Uses; Uses,Document Parsing Tool,Encoder + Decoder,"A highly precise tool/pipeline designed to extract structured markdown from complex PDFs, crucial for generating high-quality RAG corpora from visually rich documents containing tables and formulas.","Uses vision models to parse layouts, formulas, and tables into markdown representations.","A pipeline rather than a single model. It combines object detection models (for layout analysis), OCR engines, and specialized vision-language models for translating math formulas and tables to LaTeX/Markdown.","Various supervised tasks depending on the pipeline component (e.g., bounding box detection for layout, image-to-sequence for formulas)."
4,Adapter (Houlsby 2019),houlsby2019parameter,Transformer,Extends,Parameter Efficient Fine Tuning,N/A,"A technique to fine-tune massive models without updating all weights. It inserts small bottleneck layers into the transformer, updating only ~3% of the parameters while matching full fine-tuning performance.",Inserts small trainable feed-forward networks between transformer layers while freezing original weights.,Small bottleneck Multi-Layer Perceptrons (MLPs) are injected sequentially after the attention and feed-forward modules of a standard Transformer block. The original network weights are kept frozen.,"Supervised Fine-Tuning. Only the newly injected Adapter layers receive gradient updates, significantly reducing memory requirements during training."
4,MLP Projector,liu2023visual,Transformer,Component,Architecture Component,N/A,A simple but critical network component used in modern multimodal LLMs to translate features extracted from a visual encoder into the mathematical embedding space of the language model.,Typically 2-layer MLP with GELU used in models like LLaVA to map visual features to text embedding space.,"A Multi-Layer Perceptron. Usually consists of a linear layer, a non-linear activation function (like GELU), and another linear layer to match the hidden dimension of the LLM.","Trained via Feature Alignment objectives. It receives gradient updates while the larger vision and language models are kept frozen, learning to 'translate' between the two modalities."
4,LoRA,hu2021lora,Transformer,Extends,Parameter Efficient Fine Tuning,N/A,"Low-Rank Adaptation. The most widely used parameter-efficient fine-tuning method. It assumes that the weight updates during fine-tuning have a low intrinsic rank, drastically reducing trainable parameters.",Injects trainable low-rank matrices into transformer attention blocks to reduce fine-tuning parameters.,"Instead of updating a full weight matrix (W), LoRA freezes W and adds a low-rank decomposition matrix (B x A) in parallel. For inference, B x A is simply added to W, resulting in zero latency overhead.","Supervised Fine-Tuning. Only the low-rank matrices A and B receive gradient updates, allowing models like LLaMA to be fine-tuned on consumer GPUs."
4,ReAct,yao2022react,CoT; GPT,Extends; Uses,Agentic Framework,N/A,A foundational agentic prompting framework that enables LLMs to interface with external tools (like search engines or calculators) by interleaving reasoning steps with actionable tool calls.,Interleaves Thought-Action-Observation steps to allow LLMs to use external tools.,N/A,N/A
5,ViDoRAG,wang2025vidorag,RAG; ColPali; Qwen2-VL; ReAct; BM25,extends retrieval; visual retrieval; answer generation backbone; agentic reasoning pattern; sparse retrieval,Multi-Page VRDU Model,N/A,N/A,"Multi-agent iterative reasoning (Seeker, Inspector, Answer agents); GMM-based dynamic hybrid retrieval (Text + Vision)",Multi-agent RAG framework + GMM-based hybrid retriever,N/A
5,Doc-React,wu2025doc,RAG; BERT; BM25; T5,extends iteratively; dense retrieval encoder; sparse fallback; seq2seq reader,Multi-Page VRDU Model,N/A,N/A,Adaptive iterative retrieval framework that maximises entropy-normalised nutual information gain at each step,"Pipeline that wrap an existing MLLM (GPT-4o) and multimodal retrieval model (ColPali / VisRAG-Ret), MLLM acts as both judge and generator within ReAct-style loop",N/A
5,Doc-Agent,sun2025docagent,RAG; ReAct; CoT (Chain-of-Thought); LLaMA 3,extends; agent loop pattern; reasoning traces; LLM backbone,Multi-Page VRDU Model,N/A,N/A,"Multi-agent framework mimicking human reading, extracts a hierarchical XML tree-structured outline from the document, then use an actor agent with 5 retrieval tools to gather evidence, reviewer agent cross-checks answers from complementary sources/modalities, reflection-based memory bank for knowledge transfer across tasks","Training-free pipeline: 1. Outline construction (adobe PDF extract --> XML tree) 2. Actor agent (LLM + 5 tools: search, get_section_content, get_image, get_page_images, get_table_image) 3. ReviewAgent (same toolset, independent trajectory) 4. Reflection Memory Module (LLM-generated verbal guidelines, cumulative string memory)",N/A
5,MDocAgent,han2025mdocagent,ColBERT; ColPali; RAG; ReAct; Qwen2-VL,text retrieval; visual retrieval; retrieve-then-read paradigm; agent orchestration; VLM backbone,Multi-Page VRDU Model,N/A,N/A,"Design a multi-agent framework to integrate specialized agents from text/image understanding, critical information extraction and fianl answer prediction.",Multi-agents structure combining several LLMs/MLLMs.,N/A
5,M3DocRAG,cho2024m3docrag,ColPali; Qwen2-VL; RAG,visual page retrieval; answer generation backbone; retrieval-augmented framework,Multi-Page VRDU Model,N/A,N/A,"Retrieves relevant document pages using ColPali visual embeddings rather than OCR, preserving visual information --> MLLM (Qwen2-VL)",PDF --> RGB images --> ColPali --> Retrieval --> MaxSim scoring --> MLLM Answer generation,N/A (ColPali + Qwen2VL pretrained)
5,VDocRAG,tanaka2025vdocrag,CLIP; Qwen2-VL; RAG; LoRA,contrastive visual embedding; VLM backbone; retrieve-then-read paradigm; parameter-efficient fine-tuning,Multi-Page VRDU Model,N/A,N/A,"2 component RAG framework (VDocRetriever + VDocGenerator) , retriever uses pretrained LVLM to compress entire page images into dense EOS token embeddings aligned with OCR content","LVLM based dual encoding of queries and document images, maximum inner product search for retrieval, top-K retrieved page images concatenated with question is used to generate answer autoregressively","VDocRetrieve pre-trained on 500K document image-OCR pairs using 2 objectives: RCR + RCG, LLM frozen, only LoRA + projector updated"
5,MoLoRAG,wu2025molorag,ViT; Qwen2-VL; RAG,page visual encoder; VLM traversal backbone; retrieve-then-read framework,Multi-Page VRDU Model,N/A,N/A,"Construct a page level graph, then uses a lightweight VLM as retrieval engine to traverse graph and score pages on semantic similarity and logical relevance to question","ColPali to encode document and build page graph, Qwen2.5VL-3B as retrieval engine for logical relevance scoring, top K retrieved pages images fed into arbitrary LVLM for answer generation",N/A
5,AVIR,li2025avir,Pix2Struct; Qwen2-VL,page relevance scoring backbone; adaptive answer generation backbone,Multi-Page VRDU Model,N/A,N/A,"Lightweight Pix2Struct scores pages based on question relevance, then use K-means clustering (for long docs) or threshold filtering (for short docs) to select most relevant pages","Frozen Pix2Struct encoder (100M) with 2 self attention layers and a sigmoid head for relevance scoring + frozen AWQ quantized Qwen2.5-VL-3B for answer generation, receiving only adaptively selected pages",N/A
5,KGP,wang2024knowledge,RAG; BERT; BM25,retrieval-augmented framework; text encoder for KG nodes; sparse retrieval,Multi-Page VRDU Model,N/A,N/A,Construct KG from documents (passages/pages/tables) + LLM-based graph traversal agent,"KG + LLM traversal (T5, LLaMA, ChatGPT) for retrieval + final answer from ChatGPT",N/A
5,LayTokenLLM,zhu2025simple,Transformer; LLaMA 3; LoRA; LayoutLMv3,architectural basis; LLM backbone; parameter-efficient fine-tuning; layout encoding inspiration,Multi-Page VRDU Model,N/A,N/A,Layout Token with New Positional Encoding Scheme for Layout Tokens without additional positional IDs.New Pretraining prediction pretraining. ,Layout Token is proposed to integrated into LLM as interleaved input with text tokens.,Next Interleaved Text and Layout Token Prediction
5,CREAM,zhang2024cream,RAG; BERT; T5; LoRA,coarse-to-fine retrieval framework; text embedding encoder; seq2seq reader; efficient fine-tuning,Multi-Page VRDU Model,N/A,N/A,Coarse-to-fine retrieval: text embedding similarity (coarse phase) + LLM-based multi-round gruoping and reranking (find phase) to identify more relevant chunks,Pix2Struct vision encoder extended via an attention pooling mechanism to handle multiple document pages --> projected into LLaMA2 7B via AdapterMLP layer,N/A
5,MHier-RAG,gong2025mhier,RAG; ColPali; Qwen2-VL; BM25,hierarchical retrieval framework; visual page retrieval; answer generation backbone; sparse first-stage retrieval,Multi-Page VRDU Model,N/A,N/A,Multi-modal RAG with two complementary hierarchical index structures: (1) a Flattened In-Page Index enabling parent-page retrieval with LLM-based re-ranking to bridge modality disconnection within a page; (2) a Topological Cross-Page Index using Gaussian Mixture Model clustering and LLM-generated summaries for document-level long-distance reasoning across pages,"Training free: Docling PDF parser --> textual chunks (plain text, tables, layout) --> LVLM generated visual descriptions + raw images --> dual hierarchical index --> multi-granularity retriever --> LLM answer with CoT + structured output prompting",N/A
5,Self-Attention Scoring,kang2024multi,Pix2Struct; ViT,page scoring backbone; patch encoder,Multi-Page VRDU Model,N/A,N/A,Convert document to image fed into Pix2Struct; page scoring to retrieve relevant pages using self-attention,Self-attention top-K retrieval + Pix2Struct VLM,N/A
5,InstructDr,tanaka2024instructdoc,LayoutLMv3; LLaMA 3; LoRA,document encoder backbone; LLM decoder; parameter-efficient fine-tuning,Multi-Page VRDU Model,N/A,N/A,A Document-former is used to bridge multimodal document represenstation and LLM textual representation. Multi-task instruction tuning is applied.,Cross-attention based Document Former is applied to bridge gap between vision encoder and LLM. Only Document-former and FFN layer are trainable.,N/A
5,PDF-WuKong,xie2024wukong,LLaVA; Qwen2-VL; ViT; LoRA,VLM architecture template; language backbone; visual encoder; efficient fine-tuning,Multi-Page VRDU Model,N/A,N/A,Introduce a Sparse Sampling module (task) to identify and extract the most relevant text chunks or diagrams based similary. Contrastive learning,The output from the text and image encoder are used to contrastive leraning and then feed into llm.,N/A
5,Texthawk2,yu2024texthawk2,CLIP; LLaMA 3; Qwen2-VL; LLaVA; SigLIP-SO400m,visual encoder; LLM backbone option; architecture comparison; VLM template; visual encoder alternative,Multi-Page VRDU Model,N/A,N/A,"16x Visual Token Compression (ReSampling & Rearrangement), Unified Visual Encoder, Detection Head, Multi-level Cross Attention",ViT + Resampler + LLM + Detection Head,N/A
5,Leopard,jia2024leopard,SigLIP-SO400m; LLaMA 3; LLaVA; MLP Projector,visual encoder; LLM backbone; architecture template; vision-language connector,Multi-Page VRDU Model,N/A,N/A,High quality instruction-tuning data. High-resolution multi-image encoding module.,"LEOPARD is decoder only vision language model, uses SigLIP-SO-400M as encoder, 2 layer MLP vison language connector and backbond LLM (LLaMA-3.1 or Mistral-7B)",N/A
5,mPLUG-DocOwl2,hu2025mplug,CLIP; LLaMA 3; LLaVA; LoRA,visual encoder; LLM backbone; VLM template; efficient fine-tuning,Multi-Page VRDU Model,N/A,N/A,"Introduce a novel compressing architecture to greatly reduce visual tokens of high resolution document images to enable multi-page document understanding. It leverages a Shape-adaptive Cropping Module and a low resolution vision encoder to encode high-resolution document images. The glolab visual feature can be enhanced by applying cross-attention with layout aligned high-resolution visual features. For multipage scenarios, a special token <img x> is added before each document image.",Build on Top of 1.5 version with a cross-attention absed High-reesolution DocCompressor.,"Single-image Pretraining, Multi-image Continue Pretraining"
5,LayoutLLM,luo2024layoutllm,LayoutLMv3; LLaMA 3; MLP Projector,document encoder; LLM backbone; vision-language connector,Multi-Page VRDU Model,N/A,N/A,Layout instruction tuning combining layout-aware pre-training with novel LayoutCoT module in SFT,LayoutLMv3-large as document encoder --> 2 MLP projectors (visual + text & layout) --> LLM backbone (causal decoder generates answer autoregressively),"Layout aware pre-training across 3 levels: document level, region-level, segment level, LLM frozen during pre-taining, only projectors and DocPTM encoder updated"
5,Docopilot,duan2025docopilot,LLaVA; Qwen2-VL; LoRA; ViT,architecture template; long-context VLM backbone; efficient fine-tuning; visual encoder,Multi-Page VRDU Model,N/A,N/A,Native long-context MLLM with Multimodal Data Packing and Ring Attention to achieve VQA without reliance on RAG,"Standard ViT-MLP-LLM architecture using pre-trained InternViT300M, 2 layer MLP projector, pretrained InternLM2 LLM decoder",InternVL2 (standard ViT + LLM)
5,Hi-VT5,tito2023hierarchical,T5; ViT,seq2seq backbone; visual patch encoder,Multi-Page VRDU Model,N/A,N/A,"Visual, textual and layout features passed to T5 encoder to produce answer",Hierarchical Transformer + per-page summary,T5 pretrained on single image docs
5,GRAM,blau2024gram,BERT; T5; ViT,cross-page text encoding; seq2seq backbone; visual encoder,Multi-Page VRDU Model,N/A,N/A,Extends pretrained SP Encoder + Decoder using Global-Local encoder blocks with document tokens that propagate information across pages,"Interleaved encoder-decoder transformer built on DocFormerv2, self attention applied only over cross-page doc tokens.",DocFormerv2 (no further pre-training)
5,Arctic-TILT,borchmann2025arctic,BERT; T5; ViT,text encoder basis; encoder-decoder framework; visual feature extraction,Multi-Page VRDU Model,N/A,N/A,"""Tensor Product"" modality fusion mechanism integrated within each transformer block, chunked processing and sparse attention to handle long documents","Encoder-decoder transformer based on T5, combined with contextualized vision from a U-Net with textual semantics using a fusion operation placed after the FFNs in every encoder layer","Self supervised pretraining using pretrained T5, then further 900K steps self supervised pretraining on document datasets after introducing TILT architecture modifications"
