model_name,key_technique,architecture,limitations,fixes
DocR1,"EviGRPO: a GRPO variant for multi-page document understanding that adds an evidence-page-aware reward to the standard format and ANLS accuracy rewards. The model must output structured <think>/<evidence_page>/<answer> triplets with per-page T/F relevance flags; the evidence reward is F1 between predicted and gold evidence pages (using F1 instead of accuracy avoids the reward-hacking trap of always predicting all pages irrelevant). Two-stage curriculum: single-page warmup then multi-page training on 4.8k EviBench examples generated by a two-stage MLLM annotation+verification pipeline; releases ArxivFullQA evaluation set.","Backbone-Centric MLLM Adaptation. Qwen2.5-VL-7B fine-tuned with RL; no external retriever. The model performs both evidence localization and answer generation in one autoregressive pass.","Limited training data (4.8k examples). Cannot scale to documents whose page count exceeds Qwen2.5-VL's image-token capacity. Reward design assumes evidence-page annotations exist (not always available). Single-pass output means no iterative refinement when evidence is missed.","Targets the gap that prior visual RL methods (VisualRFT, Vision-R1, Video-R1) ignored multi-page document reasoning. Provides an alternative to retrieval-based pipelines (M3DocRAG, MoLoRAG) by training the MLLM itself to perform coarse-to-fine evidence selection. Complements Doc-V*'s GRPO-based agentic training with a non-agentic, single-pass formulation."
Doc-React,"Adaptive iterative ReAct-style framework that frames retrieval as InfoNCE-guided mutual-information maximisation. At each step an LLM judge decomposes the residual information gap into sub-queries and the retriever (ColPali or VisRAG) returns candidates whose normalised information gain (gain minus entropy) is greedily maximised. Stops when residual entropy cannot be reduced further.","Agentic Pipeline. GPT-4o as judge/generator over a multimodal dense retriever. No model training; entirely inference-time prompt orchestration.","Requires multiple LLM calls per question, increasing latency and API cost. Information-gain estimation is approximated and can be noisy. Heavily dependent on the underlying retriever quality. Not specialised for very long context aggregation.","Designed against the single-shot retrieval failure of VisRAG/ColPali when queries are under-specified or evidence is scattered across modalities (e.g., needing figures on a different page than the text mention). Influences subsequent iterative agentic frameworks (Doc-V*, DocLens, ViDoRAG, SimpleDoc) by formalising the trade-off between information gain and uncertainty."
DocSLM,"Compact 2B Small VLM designed for edge deployment. Hierarchical Multimodal Compressor jointly fuses visual patches, OCR text and layout into a fixed 576 tokens per page (5.6x reduction): Local OCR Compression cross-attends visual patches to spatially-aligned OCR tokens; Global Visual Compression then summarises local features into a fixed page representation using global low-res features as queries. Streaming Abstention partitions documents into segments processed sequentially; only text predictions and per-token entropy are stored across segments, then an Uncertainty Calibrator picks the most confident segment answer (with explicit ""Not Answerable"" abstention training).","Backbone-Centric MLLM Adaptation. SigLIP2 visual encoder + Qwen2.5-1.5B language backbone. Five-stage curriculum (image-OCR alignment -> image compression -> document compression -> instruction tuning -> streaming abstention) trains compressor + adapter + SLM.","Compression to 576 tokens/page may lose fine details on dense text-heavy pages. Streaming aggregation is single-pass; cannot revisit earlier segments. Smaller backbone caps reasoning ability versus 7B+ models. Requires multi-stage curriculum data.","Targets two problems other models leave open: (i) the linear visual-token growth of mPLUG-DocOwl2/Docopilot/InternVL2 that exceeds edge GPU memory, and (ii) the latency overhead of RAG pipelines like InternVL2-RAG (3.5x slower). Builds on GRAM's compression idea but maintains a constant per-page cost. Improves over LayTokenLLM by jointly compressing vision+OCR+layout in one module."
GRAM,"Extends a single-page DocFormerv2 encoder-decoder to multi-page by interleaving page-level (intra-page self-attention with shared weights) and document-level (global doc-token-only self-attention) sub-layers in each block. Introduces learnable Doc tokens with a per-attention-head decaying constant bias to force the pretrained encoder to attend to the new global tokens. Optional C-Former (compression transformer with N_c learnable queries) compresses concatenated encoder outputs before the decoder, trading accuracy for latency. Avoids the O((N*K)^2) cost of naive concatenation and avoids extra pretraining.","Hierarchical Document Transformer. T5-based DocFormerv2 backbone (859M); two-stage block structure (page sub-layer + doc sub-layer); optional C-Former and standard T5 decoder.","Memory still grows linearly with page count (no retrieval gating). DocFormerv2 backbone is proprietary, hindering reproducibility. C-Former compression hurts accuracy when N_c is small. Still constrained to documents that fit in single-pass encoder+decoder.","Targets Hi-VT5's lack of cross-page interaction prior to decoding (each page encoded fully independently) and the quadratic cost of LayoutLM/Longformer/BigBird on flat concatenated documents. Demonstrates that local+global attention can be retrofitted to strong single-page backbones without expensive pretraining, an alternative to the OCR-free MLLM trend (Docopilot, mPLUG-DocOwl2)."
Hi-VT5,"Hierarchical T5-based encoder-decoder. Each page is independently encoded with OCR tokens (with 2D position embeddings), DiT visual patches and the question; M learnable [PAGE] tokens summarise per-page content, similar to BERT's [CLS]. The decoder consumes the concatenation of all pages' [PAGE] tokens to generate the answer. An auxiliary answer-page-prediction head predicts which page contains evidence, providing explainability. Introduces the MP-DocVQA dataset (46k questions over 6k documents up to 20 pages).","Hierarchical Document Transformer. DiT visual encoder + T5-base text/decoder backbone. OCR-driven semantic + spatial + visual fusion at the page level only; no cross-page interaction in the encoder.","Pages are encoded fully independently before the decoder, losing cross-page context until late fusion. Cannot scale beyond ~20 pages in practice; truncates inputs. Relies on OCR quality. The single-page-evidence assumption built into MP-DocVQA limits learning of true multi-hop reasoning.","Establishes the multi-page VRDU problem itself by introducing MP-DocVQA. Solves the fundamental input-truncation problem of single-page LayoutLM/T5/BigBird models while keeping per-page processing tractable. Sets the baseline that GRAM, RM-T5, Arctic-TILT, CREAM and many later models compare against and explicitly try to surpass."
InstructDoc,"Releases InstructDoc, the first large-scale visual instruction-tuning collection of 30 datasets across 12 VDU task clusters with expert-written instructions covering both intent and answer style. Trains InstructDr, which extends BLIP-2 with a Document-former bridging module that fuses OCR text + layout + visual features via cross- and self-attention into m learnable tokens, then projects them into FlanT5's input space via an MLP. Updates only Document-former + projector during training; encodes multiple pages in parallel for multi-page documents.","Backbone-Centric MLLM Adaptation. CLIP visual encoder + FlanT5/BLIP-2 backbone + Document-former bridging module + small projection FFN.","Per-page processing with mean-pooling for multi-page inputs limits cross-page reasoning. Most tasks in the dataset are single-page; multi-page coverage (DUDE, SlideVQA) is small. Requires off-the-shelf OCR. CLIP encoder is not document-specialised.","Addresses the narrow training data of LLaVAR/DocOwl (1-3 task clusters, single template) that prevented zero-shot generalisation across VDU tasks. Tackles the gap that general visual instruction-tuning datasets ignore text-rich documents. Provides the dataset and bridging-module recipe that later models like Leopard and Docopilot extend with multi-image and long-context training."
KGP,"Builds a knowledge graph over the document corpus with passage nodes (text) and structural nodes (pages, tables) plus directed belonging edges. Three KG construction variants: TF-IDF (lexical similarity edges), KNN-ST/MDR (semantic similarity edges, optionally trained MDR-style for next-supporting-fact prediction), and TAGME (Wikipedia-entity overlap). An LLM-based KG traversal agent (instruction-tuned T5 or LLaMA) generates the next likely supporting fact and selects the closest neighbour on the graph, iterating until a budget is met. Structural questions are routed via extracted structure keywords directly to the matching nodes.","Agentic Pipeline (graph-based). Sparse text retrieval at the seed step; KG traversal performed by an instruction-tuned LM; final answer generated by a separate LLM (e.g., ChatGPT) over the retrieved passages.","Confined to text-only multi-document QA; ignores fine-grained visual elements (figures, charts). Quality of retrieval is upper-bounded by KG construction; denser graphs increase recall but reduce precision. Requires PDF parsing (Adobe PDF Extract). Not designed for the visually-rich multi-page DocVQA setting that later models target.","Frames the multi-document/multi-passage QA problem as a graph-traversal task, addressing the inability of single-shot dense retrievers to follow logical chains across documents. Predates and motivates later graph-based RAG work (MoLoRAG, MLDocRAG, MultiDocFusion) and structure-aware retrieval. The structural-question handling foreshadows the layout-as-navigation idea later used by MHier-RAG and DocAgent."
LayTokenLLM,"Represents the layout of each OCR text segment as a single layout token produced by a layout tokenizer (4D-bbox projector + attention encoder over a learnable query). The layout token is interleaved after its corresponding text segment but shares the first position ID of that segment, so layout tokens consume zero extra position IDs (T-Ratio remains 100% for text). Adds a new pre-training objective NTLP (Next Interleaved Text and Layout Token Prediction) that requires cross-modal prediction between text and layout tokens.","Backbone-Centric MLLM Adaptation. LLaMA3-8B / Qwen1.5-7B + LoRA, with an injected layout tokenizer. Pure OCR-text+layout input; no visual tokens, so it bypasses high-resolution image encoding entirely.","No visual modality, so charts/figures are lost. Heavy reliance on OCR quality and bounding boxes. Layout token shares position IDs with text, which can complicate fine-grained spatial reasoning. Requires NTLP pretraining.","Solves the position-ID waste of prior layout-as-token methods (e.g., DocLLM, He et al. inline {text,Box:[...]}) that consumed thousands of position IDs for layout strings on MP-DocVQA, squeezing the textual learning space. Provides a lightweight alternative to layout-as-modality models (UDOP, DocFormerv2) that need extra encoders, and to OCR-free visual MLLMs (mPLUG-DocOwl2, TextHawk2) whose visual tokens scale with resolution."
Leopard,"MLLM specialised for text-rich multi-image tasks. Curates Leopard-Instruct, a 925k instance instruction-tuning dataset including 585k newly collected multi-image samples (multi-chart from Pew, slide decks from SlideShare, etc.) generated by GPT-4o with cross-image reasoning rationales. Introduces an adaptive high-resolution multi-image encoding module that computes per-image sub-image splits based on aspect ratio and resolution under a global token budget, then applies pixel shuffling (4x token compression) before vision-language projection.","Backbone-Centric MLLM Adaptation. SigLIP-SO400M visual encoder + LLaMA-3.1-8B or Mistral-7B backbone via standard vision-language connector. Trained from LLaVA/Idefics2 base with the Leopard-Instruct mix.","Despite adaptive encoding, multi-page documents still produce long visual sequences. Pixel-shuffle compression is lossless geometrically but discards per-token granularity. Heavy reliance on GPT-4o-generated synthetic instructions. Limited explicit cross-page agent reasoning.","Addresses the fact that prior text-rich MLLMs (LLaVAR, mPLUG-DocOwl-1.5, UReader) were optimised for single images and cannot reason across slide decks, multi-chart articles or multi-page documents. Tackles the dual challenge of resolution vs sequence length that hampered Mantis, VILA, Idefics2 and LLaVA-Next-Interleave on text-rich inputs. Complements multi-page VRDU pipelines (Docopilot, mPLUG-DocOwl2) with a recipe for multi-image instruction-tuning."
M2RAG,"Multi-agent multimodal fusion RAG. Uses a dual-tower retrieval that runs BM25 (sparse text) and VisRAG-Ret (dense visual page retrieval) independently and returns top-K text segments + top-K visual pages. Three Qwen-based agents then collaborate: a Text Filter produces a preliminary text-grounded answer with evidence; a Visual Extractor (a VLM fine-tuned via LoRA on a knowledge-distilled MP-DocVQA dataset) produces a vision-grounded answer; a Modality Fuser performs consistency checking and synthesises the final answer.","Agentic Pipeline. Backbone agents are Qwen variants; the visual extractor is a LoRA-tuned LVLM. Sparse + dense + visual retrieval combined with multi-agent generation.","Two parallel retrieval pipelines double indexing cost. Modality fuser still relies on a single LVLM, so cross-modal disagreements may resolve incorrectly. Knowledge-distillation dataset is task-specific (MP-DocVQA), limiting domain transfer.","Targets the unimodal limitation of VisRAG/ColPali (visual only) and text-RAG with OCR (lossy parsing), which struggle when answers require both modalities. Improves over single-agent RAG (M3DocRAG) by adding evidence-chain comparison across modalities. Aligns with MDocAgent and DocLens in pursuing multi-modal multi-agent fusion, but adds explicit modality-fusion adjudication."
M3DocRAG,"ColPali (multi-modal late-interaction visual retriever) encodes every document page into per-patch embeddings; query encoded similarly; MaxSim score selects top-K relevant pages. For open-domain settings, IVF approximate indexing is used to scale to 40k+ pages with sub-2s retrieval. The retrieved page images are passed directly to a multi-modal LM (Qwen2-VL 7B) for answer generation. Introduces the M3DocVQA open-domain benchmark (3.4k+ PDFs, 41k pages, 2.4k multi-hop questions extended from MultimodalQA).","Retriever-Generator. ColPali (or ColQwen) visual retriever + Qwen2-VL-7B (or Intern/Idefics) generator. No agentic loop, no fine-tuning of the generator.","Fixed Top-K retrieval; brittle when relevant evidence is missed. ColPali multi-vector embeddings are storage-heavy. Generator is a single forward pass over retrieved pages; cannot revise queries. Performance plateaus around K=4 due to attention dilution.","Bridges the gap between single-page VQA and text-only RAG (DPR/BM25 + LLM), neither of which preserves visual cues across many pages. Provides the canonical multi-modal page-retrieval baseline that virtually every later RAG/agentic system (MDocAgent, MoLoRAG, ViDoRAG, SimpleDoc, Doc-V*, AVIR) compares against and tries to improve."
MACT,"Procedural scaling: decomposes the document workflow into four specialised agents (Planning, Execution, Judgment, Answer). The planning agent generates analogical relevant plans without execution details; the execution agent picks tools from a tool library and runs each plan step; the judgment agent independently flags incorrect plan or execution steps and routes them back for correction (no self-correction or combined judge+correct); the answer agent synthesises the final answer from both correct and corrected processes. Adds an agent-wise adaptive test-time scaling strategy with mixed reward modelling (per-agent + global outcome) so each agent gets its own scaling regime.","Agentic Pipeline. Multiple Qwen2.5-VL / MiMo-VL / InternVL3 variants of differing sizes used as the four agents. Tool library accessed during execution. Two-stage RL training pipeline.","Multi-agent overhead increases inference cost; up to 3 correction rounds per question. Judgment agent only flags but does not correct, so plan/execution agents must learn to repair specific errors. Performance depends on the underlying tool library quality.","Argues monolithic VLM scaling (bigger Qwen2.5-VL/InternVL3) gives diminishing returns on document-based VQA, motivating procedural scaling. Addresses cognitive overload in single-pass models (Docopilot, mPLUG-DocOwl2) and the lack of internal verification in non-agentic baselines. Improves over MDocAgent/SimpleDoc by separating judgment from correction to avoid cognitive blind spots."
MDocAgent,"Five-stage multi-modal multi-agent pipeline: (1) document pre-processing extracts text via OCR and preserves page images; (2) parallel ColBERT (text) and ColPali (image) retrieval return top-K segments; (3) a general agent gives a preliminary multi-modal answer and a critical agent extracts key textual + visual cues; (4) specialised text and image agents perform focused analysis using the critical cues; (5) a summarising agent integrates all answers into a final response.","Agentic Pipeline. Five LLM/LVLM agents (typically GPT/Qwen/LLaMA mixes) wrapped around ColBERT (textual retrieval) and ColPali / ColQwen2 (visual retrieval). No fine-tuning.","Five-agent pipeline is computationally heavy and over-engineered; later work (SimpleDoc) shows similar accuracy with a single agent. Vector retrievers have low evidence-page recall (~71% in the DocLens analysis). Does not iterate retrieval; if both modalities miss, the system fails.","Targets the inability of pure-text RAG (ColBERT alone) and pure-vision RAG (ColPali alone) to integrate both modalities for questions requiring cross-modal reasoning. Influential in establishing role-specialised multi-agent pipelines for DocQA; later refined by ViDoRAG, M2RAG, MACT, DocLens and SimpleDoc."
MHier-RAG,"Hierarchical index combining (i) flattened in-page indexing of small textual chunks (text+table+layout-text) and (ii) topological cross-page indexing built by clustering semantically related text blocks and recursively summarising them with an LLM into a tree. Multi-granularity retrieval: page-level parent-page retrieval (hits a chunk then returns the entire parent page with all visual elements) for multi-modal connection, plus document-level summary retrieval over the tree for long-distance reasoning. Both stages use joint similarity + LLM re-ranking; final answer generated with a CoT prompt and structured-output template.","Retriever-Generator (graph/tree-augmented). Qwen-VL-Plus visual captioner + Qwen/DeepSeek/GPT generator. OCR-based parsing + LVLM-derived visual descriptions stored in a textual corpus.","Pre-processing is heavy (clustering, GMM, recursive LLM summarisation). Topological tree must be rebuilt per document. Visual content is mediated through textual descriptions, losing fidelity. Does not natively retrieve images; relies on parent-page heuristic for multi-modal evidence.","Targets two failure modes of M3DocRAG/MDocAgent: (i) inability to retrieve visual evidence whose surrounding text on the same page is the only handle (multi-modality disconnection) and (ii) inability to aggregate evidence from non-adjacent pages (long-distance reasoning). Sits between pure RAG and agentic methods by enriching the index rather than the inference loop."
MLDocRAG,"Multimodal Chunk-Query Graph (MCQG) constructed via MDoc2Query: an LVLM generates multiple answerable query-answer pairs from each modality-specific chunk (paragraphs, figures, tables, equations). Query nodes are linked to their source chunk via Chunk-Query edges and to top-K nearest queries via Query-Query edges (KNN over query embeddings). At inference, the user query retrieves similar generated queries via KNN in vector space, then the linked chunks are aggregated and ranked for the LVLM generator. Storage decouples vector DB (FAISS) from graph DB (Neo4j).","Retriever-Generator (graph-based). LVLM (Qwen2.5-VL etc.) for query generation and final answer; BGE-m3 text encoder for embeddings; no direct image retrieval (queries serve as semantic anchors).","Heavy offline cost to generate and embed many queries per chunk. Quality depends entirely on the LVLM's query-generation quality. Visual chunks are accessed only via their queries, which can lose visual fidelity. Graph maintenance complexity for evolving corpora.","Extends Doc2Query/QCG-RAG to the multimodal setting, addressing the cross-modal heterogeneity and cross-page reasoning failures of standard RAG (M3DocRAG, VisRAG). Provides an alternative to MoLoRAG (page-graph) and MHier-RAG (parent-page index) by anchoring retrieval in synthetic queries rather than chunks or pages."
