Tier,Name,Dependencies,Relationship,Category,Encoder / Decoder,Description,Key Technique,Architecture,(Pre)-training Objective,Rationale,BibTex (Unverified)
1,BEiT,ViT,Extends,Vision Model,Encoder,"Self-supervised vision model treating image patches like discrete text tokens. Introduced a BERT-like pre-training approach for the visual domain, bridging the gap between NLP and CV pre-training methodologies.",Predicts discrete visual tokens for masked image patches instead of reconstructing raw pixels. Tokens are generated beforehand by a pre-trained discrete variational autoencoder (dVAE).,Standard Transformer encoder taking corrupted image patches as input and outputting representations that map to the discrete visual vocabulary space of the dVAE.,Masked Image Modeling (MIM) predicting the discrete token IDs of masked patches based on unmasked visual context.,Predicting continuous raw pixels is overly complex and focuses on high-frequency noise. Predicting discrete tokens forces the learning of meaningful visual concepts similar to linguistic words.,bao2021beit
1,BART,BERT; GPT,Uses; Uses,Language Model,Encoder + Decoder,Denoising autoencoder designed for pre-training sequence-to-sequence models. Combines the bidirectional encoding capabilities of BERT with the autoregressive decoding strengths of GPT.,"Introduces a highly flexible pre-training scheme where text is corrupted with arbitrary noising functions, such as sentence permutation or text infilling. Learns to reconstruct the original clean text.","Standard Transformer encoder-decoder architecture. The encoder processes corrupted text bidirectionally, while the decoder generates original text autoregressively with causal masking.",Sequence-to-sequence reconstruction loss on a massive text corpus by applying multiple noise functions to the input.,Previous models were either exclusively encoders or exclusively decoders. Bridged this gap to create a model excelling at generative comprehension tasks like abstractive summarization.,lewis2019bart
1,GPT,Transformer,Uses,Language Model,Decoder,Foundational causal language model series. Demonstrated that unsupervised learning produces highly capable generalist language models by predicting the next word on massive datasets.,"Relies entirely on autoregressive generation, using masked self-attention to ensure a token can only attend to previous tokens in the sequence, preserving strict left-to-right generation.","Transformer decoder-only architecture. Strips away the encoder block entirely, stacking multiple decoder blocks with causal masking.",Standard unsupervised next-token prediction on diverse internet text corpora. Maximizes the likelihood of predicting the correct subsequent token based on prior context.,Chosen because human language generation is inherently sequential. Scaling up this simple objective proved models could absorb vast amounts of world knowledge without explicit fine-tuning.,brown2020language
2,ColBERT,BERT; MaxSim,Uses; Uses,Retrieval Model,Encoder,Dense retrieval model gracefully resolving the tradeoff between efficiency and effectiveness in search. Introduces a late interaction mechanism to calculate fine-grained similarity without feeding query-document pairs jointly through a heavy transformer.,Represents queries and documents as matrices of token-level embeddings rather than single pooled vectors. Computes similarity using the MaxSim operator to find the maximum cosine similarity between each query token and document tokens.,"Dual BERT encoder architecture (one for queries, one for documents). Token-level embeddings are stored offline for documents and matched efficiently at inference time via MaxSim.",Pairwise contrastive ranking loss ensuring the positive document scores higher than sampled negative documents for a given query.,"Full cross-encoders are too slow for searching millions of documents, while single-vector bi-encoders lose crucial token-level details. Late interaction preserves cross-encoder accuracy while operating at bi-encoder speed.",khattab2020colbert
2,CLIP,ViT; Transformer; InfoNCE,Uses; Uses; Uses,Vision-Language Model,Encoder,"Foundational multimodal model learning highly robust, zero-shot transferable visual concepts. Bridges the gap between vision and language by training on hundreds of millions of internet-scraped image-caption pairs.",Utilizes massive batch sizes and InfoNCE contrastive loss to align images and text in a joint embedding space. Maximizes cosine similarity of correct image-text pairs while minimizing similarity of incorrect pairs.,Dual Encoder architecture comprising a Vision Encoder (ViT or ResNet) and a Text Encoder (Transformer). Pooled outputs of both towers are mapped via linear projections to a shared multimodal space.,Contrastive Language-Image Pre-training (InfoNCE) on a massive proprietary dataset of 400 million image-text pairs to predict which text snippet belongs to which image.,"Traditional vision models relied on narrow, human-annotated datasets limiting generalization. Using natural language supervision from the web allows the learning of an incredibly broad and flexible visual vocabulary.",radford2021learning
2,Pix2Struct,ViT; Transformer,Uses; Uses,Vision-Language Model,Encoder + Decoder,Visually-situated language model explicitly designed to understand visually rich contexts like webpages and documents. Bypasses OCR entirely by parsing screenshots directly into underlying structured representations.,Introduces a novel variable-resolution input strategy dynamically adapting the patch grid to handle varying aspect ratios without distortion. Learns to map visual elements directly to HTML or structured text.,"Asymmetrical ViT Encoder and Transformer Decoder architecture. The vision encoder processes raw screenshots, and the autoregressive decoder generates structured text output.",Screenshot parsing objective learning to reconstruct masked HTML structures directly from a given webpage screenshot.,Standard document AI relied heavily on fragile OCR pipelines failing on complex web layouts. Proved that an end-to-end vision-to-text generative approach natively captures complex layout structures.,lee2022pix2struct
2,SigLIP-SO400m,CLIP; Sigmoid Contrastive Loss,Extends; Uses,Vision-Language Model,Encoder,Advanced vision-language model vastly improving the CLIP architecture by changing the fundamental loss function. The shape-optimized 400M parameter version serves as the foundational vision backbone for many state-of-the-art MLLMs.,s,"Retains the Dual Encoder architecture of CLIP (ViT for vision, Transformer for text), heavily optimized for scaling batch sizes across distributed hardware clusters.","Sigmoid Contrastive Learning on massive web datasets, pushing matching pairs to probability 1 and non-matching pairs to probability 0 independently.","Scaling batch sizes in CLIP requires immense cross-device communication that crashes hardware. Sigmoid loss unlocks theoretically infinite batch scaling, leading to significantly better visual-semantic alignment.",zhai2023sigmoid
2,DPR,BERT,Uses,Retrieval Model,Encoder,Seminal model popularizing dense retrieval for Open-Domain Question Answering. Conclusively demonstrated that retrieving passages using dense neural embeddings significantly outperforms sparse algorithms like BM25.,Uses dual encoders to represent queries and passages as dense 768-dimensional vectors. Calculates relevance instantaneously using the inner product (dot product) between these two vectors.,"Two separate, independent BERT encoders: a Query Encoder and a Passage Encoder. The [CLS] token representation serves as the global dense vector for the sequence.",Contrastive learning with in-batch negatives and carefully selected hard negatives (passages retrieved by BM25 missing the answer) forcing fine-grained semantic learning.,"Sparse retrievers fail on lexical mismatch. Solves this by projecting text into a semantic space where meaning, rather than exact vocabulary, determines closeness.",karpukhin2020dense
2,LayoutLMv3,Transformer; ViT; BERT,Uses; Uses; Uses,Document Encoder Model,Encoder,"State-of-the-art Document AI model jointly modeling text, layout, and image features within a single unified transformer. Eliminated the need for complex, separate CNN visual backbones used in previous iterations.","Unifies masking objectives across modalities, predicting masked text words, masked 2D bounding box coordinates, and masked image patches simultaneously. Forces deep cross-modal alignment at the token level.","Multi-modal Transformer encoder taking 1D text tokens, 2D spatial coordinate embeddings representing layout, and linear projections of raw image patches.","Masked Language Modeling (MLM), Masked Image Modeling (MIM), and Word-Patch Alignment (WPA) to learn fine-grained spatial mappings across the document.","Documents are inherently multimodal, relying on the interplay of text and layout. Unified architecture captures these interactions natively, setting benchmarks for visually rich document understanding.",huang2022layoutlmv3
3,LLaMA 3,Transformer; GPT,Uses; Extends,Language Model,Decoder,"Highly optimized, open-weights large language model series. Achieves state-of-the-art performance through massive data scale and extreme architectural efficiency improvements over previous generations.","Utilizes Grouped-Query Attention (GQA) to drastically reduce KV cache memory for long contexts, and Rotary Positional Embeddings (RoPE) to model sequence order. Expands vocabulary to 128k tokens for better multilingual efficiency.",Decoder-only Transformer employing SwiGLU activations instead of standard ReLU and using RMSNorm for both pre- and post-normalization to ensure stable training at immense scales.,"Standard autoregressive next-token prediction on over 15 trillion tokens, followed by post-training alignment using Supervised Fine-Tuning (SFT) and Direct Preference Optimization (DPO).","Designed to push scaling law boundaries while maintaining open accessibility. Architectural tweaks specifically target inference efficiency, allowing massive models to run on standard hardware with massive context windows.",touvron2023llama
3,LLaVA,LLaMA 3; CLIP; MLP Projector,Uses; Uses; Uses,Multimodal LLM,Decoder,Pioneering multimodal model bridging pre-trained vision encoders and large language models. Enables standard text-based LLMs to see and seamlessly follow visual instructions.,Connects a frozen visual encoder to a frozen LLM via a simple trainable projection layer. Leverages high-quality multimodal instruction data generated by language-only GPT-4 to train reasoning about images.,Pre-trained CLIP ViT visual encoder and a pre-trained LLM decoder connected via a 2-layer MLP projection layer mapping visual patches directly into the LLM's text embedding space.,Stage 1 freezes models and trains projector for feature alignment. Stage 2 freezes vision encoder and trains projector and LLM on complex visual instruction data.,Training massive multimodal models from scratch is prohibitively expensive. Proved highly capable VLMs can be rapidly built by stitching together existing SOTA uni-modal models with a lightweight adapter.,liu2023visual
3,RAG,DPR; BART,Uses; Uses,Framework,Encoder + Decoder,"Seminal framework combining a neural retriever with a generative LLM. Allows the model to ground generative outputs in external, non-parametric knowledge bases, significantly reducing hallucinations.","Marginalizes generation over retrieved documents, treating documents as latent variables. Concatenates the query and retrieved texts in the generator's context window to synthesize factually grounded answers.",Bi-Encoder Retriever (Dense Passage Retriever) and an Encoder-Decoder Generator (BART-large) connected via retrieved text tokens passed into the generator's context.,"End-to-end training using marginal log-likelihood. Generator and Query Encoder are fine-tuned jointly to produce the correct answer, while the Document Index (FAISS) is typically frozen.",LLMs cannot update internal parametric memory easily and frequently hallucinate rare facts. Explicitly separates factual knowledge storage from reasoning capabilities to solve this.,lewis2020retrieval
3,InternViT-6B,ViT,Extends,Vision Model,Encoder,Massive 6 billion parameter Vision Transformer designed to capture extremely high-resolution and robust visual features. Bridges the parameter gap between vision towers and massive language models in modern MLLMs.,Aggressively scales standard ViT architecture utilizing dynamic resolution tiling strategies to process massive image sizes without downsampling. Incorporates advanced layer scaling and RMSNorm to stabilize 6B parameter training.,"Scaled-up Transformer Encoder explicitly designed to act as the massive visual sensory organ for the InternVL family of multimodal models, outputting high-dimensional patch embeddings.",Progressive combination of Contrastive Learning (aligning with text) and generative Masked Image Modeling to ensure deep representation learning and semantic alignment.,"As LLMs grew to 70B+ parameters, standard 300M CLIP vision encoders became a bottleneck. Scaling the vision encoder directly solved the modality capacity gap to feed complex visual details to the LLM.",chen2023internvl
3,Qwen2-VL,Transformer; ViT,Uses; Uses,Multimodal LLM,Decoder,"Highly capable multimodal LLM setting the standard for Document AI and visual reasoning. Natively supports dynamic resolution, allowing processing of documents and UI screens without losing aspect ratios or fine details.","Introduces Naive Dynamic Resolution and 2D-Rotary Positional Embeddings (M-ROPE) to map any image of any aspect ratio into a dynamic number of visual tokens, perfectly preserving original visual structure.",Integrates a dynamic-resolution Vision Encoder with a Qwen2 LLM decoder using multi-layer perceptron projectors to map variable numbers of visual tokens into the language space.,"Multimodal Next Token Prediction trained extensively on a massive mix of interleaved image-text data, video-text data, and specifically curated visually rich document datasets.",Forcing a rectangular document into a fixed square destroys text readability. Dynamic resolution and 2D positional tracking allow inherent understanding of document layouts better than strict fixed-resolution models.,wang2023qwen
3,InternVL2,InternViT-6B; LLaMA 3,Uses; Uses,Multimodal LLM,Decoder,Advanced open-source Multimodal Foundation Model series pairing massive vision encoders with state-of-the-art LLMs. Achieves closed-source level performance on incredibly demanding high-resolution document understanding tasks.,Utilizes dynamic high-resolution tiling strategy to split large images into multiple 448x448 local tiles plus a global contextual tile. Employs progressive scaling to transfer vision weights from small LLMs to larger ones to save compute.,Links the InternViT-6B visual encoder with various LLM decoders via an MLP projector. Concatenates tokens from the global view and all local tiles into a massive sequence for the LLM.,"Progressive training paradigm starting with vision-language alignment, followed by multimodal pre-training on interleaved datasets, concluding with Supervised Fine-Tuning on tool-use and reasoning tasks.","Capturing global context and microscopic detail requires massive input resolution. The tiling strategy captures local detail, while the global view maintains overall semantic coherence.",chen2023internvl
3,PaliGemma,SigLIP-SO400m; Gemma 2,Uses; Uses,Multimodal LLM,Encoder + Decoder,"Lightweight Vision-Language Model optimized for fast and accurate multimodal tasks. Uses an unmasked, full-attention processing approach for images and text prompts, leading to highly robust performance on dense visual tasks.",Leverages SigLIP vision encoder and Prefix-LM masking to allow visual tokens and text prompt to attend to each other bidirectionally before generating the causal answer autoregressively.,"Fuses a SigLIP-So400m vision encoder directly with a Gemma-2B decoder model via a linear projection layer. Image and text tokens are concatenated without complex pooling, retaining spatial grids.","Joint multimodal pre-training on a massive mixture of tasks (captioning, VQA, detection, OCR) at low resolution, followed by resolution upscaling stages before task-specific fine-tuning.","Combining a best-in-class vision encoder and highly efficient language model creates a powerful, easily fine-tunable base. The full-attention prefix allows the LLM to deeply contextualize the image before answering.",beyer2024paligemma
3,DocFormerv2,Transformer,Uses,Document AI Model,Encoder + Decoder,State-of-the-art model for visually rich documents introducing an asymmetric pre-training approach. Vastly improves both efficiency and performance of document parsing over previous LayoutLM-style models.,"Utilizes an asymmetric autoencoder design where a heavy encoder extracts joint multimodal features and a lightweight decoder reconstructs them. The decoder is discarded after pre-training, leaving a highly efficient encoder.","Asymmetric Transformer Encoder-Decoder. The deep encoder processes multimodal inputs (text, vision, layout), while the shallow decoder is strictly used during pre-training for reconstruction tasks.",Asymmetric Masked Modeling reconstructing both masked text tokens and continuous visual patches from the document image simultaneously.,Standard symmetric pre-training is incredibly computationally expensive for high-resolution documents. A shallow decoder for reconstruction speeds up training significantly while forcing the encoder to learn deeper representations.,appalaraju2023docformerv2
3,Gemma 2,Transformer; Gemma; Gemini; GQA; RoPE; RMSNorm,Uses; Extends; Distilled from; Uses; Uses; Uses,Language Model,Decoder,High-performance series of open-weights LLMs designed to punch far above their weight class. Achieves this by using massive teacher models for knowledge distillation and an advanced interleaved attention architecture.,Alternates between local sliding window attention and global attention to balance context capture with memory efficiency. Employs Logit Soft-Capping to prevent logit drift and stabilize training for extremely deep networks.,Decoder-only Transformer featuring Grouped-Query Attention (GQA) and RMSNorm pre/post normalization. Interleaved attention processes up to 8192 tokens efficiently by limiting full attention to every other layer.,Autoregressive Next-Token Prediction combined heavily with Knowledge Distillation. Smaller models minimize negative log-likelihood against soft probability distributions generated by larger Gemini teacher models.,"Training small models from scratch on hard labels often limits reasoning depth. Distillation transfers world knowledge and reasoning nuance of massive models, allowing small models to rival competitors twice their size.",gemma2team2024gemma
4,ColPali,ColBERT; PaliGemma,Extends; Uses,Retrieval Model,Encoder,Groundbreaking retrieval model designed specifically to solve the 'PDF bottleneck' in RAG pipelines. Completely bypasses error-prone OCR by applying late interaction directly to visual patch embeddings of document pages.,Adapts the ColBERT MaxSim operator for the visual domain. Matches text query tokens directly against a dense grid of raw image patch embeddings extracted from a document page to find visual regions answering the query.,PaliGemma vision encoder combined with a ColBERT-style late interaction mechanism. Image patches map directly to a 128-dimensional token-level embedding space without generating intermediate text.,Contrastive learning using InfoNCE loss combined with Late Interaction matching. Maximizes the MaxSim score between a user query and the image of the specific document page containing the answer.,"OCR pipelines destroy spatial context, fail on complex tables, and miss visual cues. Retrieving directly on visual patches preserves layout semantics and achieves state-of-the-art multi-page document retrieval.",faysse2024colpali
4,CoT,GPT,Prompting Strategy,Prompting Framework,N/A,"Paradigm shift in how LLMs are queried, significantly boosting reasoning capabilities. Forces the model to articulate intermediate logical steps before outputting the final answer.","Prompts the model to generate a reasoning chain (latent variables) instead of standard input-output prompting. Decomposes complex problems into smaller, manageable conditional probabilities.",N/A,N/A,Standard prompting forces complex math or logic into a single forward pass token. Spreading computational FLOPs across multiple tokens vastly reduces errors on multi-step reasoning tasks.,wei2022chain
4,Vicuna,LLaMA 3,Extends,Language Model,Decoder,Influential open-source chatbot created by fine-tuning LLaMA models on user-shared conversations. Proved high-quality conversational data could rapidly align base models to approach ChatGPT-level interaction quality.,"Pioneered the use of crowdsourced, high-quality dialogue data (scraped from ShareGPT) for highly effective supervised fine-tuning. Focused on multi-turn conversation flow rather than single-turn instruction following.",Strictly identical to the base LLaMA model (Decoder-only Transformer). Differentiation lies entirely in post-training alignment data and learning rate optimizations.,"Supervised Fine-Tuning (SFT) using standard cross-entropy loss on approximately 70K high-quality, multi-turn user-shared conversations to learn human-like dialogue patterns.","Base LLMs are autocomplete engines and do not naturally converse. Demonstrated that a relatively small amount of highly diverse, high-quality dialogue data unlocks powerful conversational agents.",chiang2023vicuna
4,MinerU,Transformer; ViT,Uses; Uses,Document Parsing Tool,Encoder + Decoder,"Highly precise, specialized parsing tool designed to extract structured markdown from complex PDFs. Crucial for generating high-quality RAG corpora from visually rich documents containing complex tables and mathematical formulas.",Replaces heuristic-based PDF parsing with a pipeline of specialized vision models. Utilizes layout detection models to segment pages and vision-to-text models to translate complex formulas and tables into precise LaTeX/Markdown.,"Sequential pipeline architecture rather than a single model. Orchestrates object detection models, OCR engines, and specialized VLM decoders to construct the final document representation.","Various supervised tasks depending on the pipeline component, such as bounding box regression for layout detection and sequence-to-sequence reconstruction for formula parsing.","Traditional PDF parsers jumble text reading order and destroy table structures, ruining RAG pipelines. Treating document parsing as a rigorous computer vision task preserves exact semantic structures required by LLMs.",mineru2024
4,Adapter (Houlsby 2019),Transformer,Extends,Parameter Efficient Fine Tuning,N/A,Parameter-efficient fine-tuning technique designed to adapt massive models to new tasks without updating all weights. Allows multiple downstream tasks to be trained efficiently while avoiding catastrophic forgetting.,"Inserts small, trainable bottleneck feed-forward networks (Adapters) between fixed layers of a pre-trained transformer. Modifies less than 3% of total parameters during fine-tuning while original weights remain frozen.",Small bottleneck Multi-Layer Perceptrons (MLPs) injected sequentially after attention and feed-forward modules of a standard Transformer block.,N/A,Full fine-tuning is computationally prohibitive and creates separate massive model copies for every task. Achieves near-identical performance while drastically reducing memory requirements and allowing inference hot-swapping.,houlsby2019parameter
4,MLP Projector,Transformer,Component,Architecture Component,N/A,Simple but critical network component used in modern multimodal LLMs to align different modalities. Translates feature representations extracted from a visual encoder into the mathematical embedding space of the language model.,Acts as a bridge taking high-dimensional Vision Transformer output and mapping it linearly (or non-linearly) into the exact dimensionality required by the LLM's input layer.,"Typically a 2-layer Multi-Layer Perceptron. Consists of a linear layer, non-linear activation function (like GELU), and another linear layer to match the hidden dimension of the LLM.","Trained via Feature Alignment objectives where the projector receives all gradient updates while larger vision and language models are frozen, learning to translate between modalities.",Vision and language models are trained in completely different latent spaces. Efficiently bridges this gap to allow the LLM to process visual tokens exactly as if they were foreign language text tokens.,liu2023visual
4,LoRA,Transformer,Extends,Parameter Efficient Fine Tuning,N/A,Widely adopted parameter-efficient fine-tuning method drastically reducing the number of trainable parameters. Allows massive models to be fine-tuned on single consumer GPUs.,Hypothesizes weight updates during fine-tuning have a low intrinsic rank. Freezes the massive weight matrix and adds a trainable low-rank decomposition matrix in parallel instead of updating full weights.,"Adds a parallel path calculating (B x A) alongside the frozen weight matrix (W). Trained low-rank matrices are multiplied and added back into W for inference, resulting in zero latency overhead.",N/A,"Fine-tuning a 70B parameter model requires vast VRAM just to store optimizer states. Reduces trainable parameters by up to 10,000x, democratizing fine-tuning while matching full fine-tuning accuracy.",hu2021lora
4,ReAct,CoT; GPT,Extends; Uses,Agentic Framework,N/A,"Foundational agentic prompting framework enabling LLMs to interface dynamically with external tools. Transforms an LLM from a static text generator into an active agent capable of iterative search, compute, and reasoning.",Interleaves internal reasoning steps (Thought) with external tool calls (Action) and environmental results (Observation). Creates a dynamic loop where the model plans moves based on real-time feedback.,N/A,N/A,"LLMs naturally hallucinate when lacking information. Forces the model to pause, actively retrieve missing information from an API or database, and incorporate real-world observations before concluding.",yao2022react
5,ViDoRAG,RAG; ColPali; Qwen2-VL; ReAct; BM25,extends retrieval; visual retrieval; answer generation backbone; agentic reasoning pattern; sparse retrieval,Multi-Page VRDU Model,N/A,N/A,"Multi-agent iterative reasoning (Seeker, Inspector, Answer agents); GMM-based dynamic hybrid retrieval (Text + Vision)",Multi-agent RAG framework + GMM-based hybrid retriever,N/A,Inference-only; LLMs like Qwen2.5-VL used as agents in prompt-driven generation,wang2025vidorag
5,Doc-React,RAG; BERT; BM25; T5,extends iteratively; dense retrieval encoder; sparse fallback; seq2seq reader,Multi-Page VRDU Model,N/A,N/A,Adaptive iterative retrieval framework that maximises entropy-normalised nutual information gain at each step,"Pipeline that wrap an existing MLLM (GPT-4o) and multimodal retrieval model (ColPali / VisRAG-Ret), MLLM acts as both judge and generator within ReAct-style loop",N/A,1. Generator: produce answers from retrieved multimodal page substeps 2. Judge: evaluate information gaps and generates refined sub-queries via information differentiation,wu2025doc
5,Doc-Agent,RAG; ReAct; CoT (Chain-of-Thought); LLaMA 3,extends; agent loop pattern; reasoning traces; LLM backbone,Multi-Page VRDU Model,N/A,N/A,"Multi-agent framework mimicking human reading, extracts a hierarchical XML tree-structured outline from the document, then use an actor agent with 5 retrieval tools to gather evidence, reviewer agent cross-checks answers from complementary sources/modalities, reflection-based memory bank for knowledge transfer across tasks","Training-free pipeline: 1. Outline construction (adobe PDF extract --> XML tree) 2. Actor agent (LLM + 5 tools: search, get_section_content, get_image, get_page_images, get_table_image) 3. ReviewAgent (same toolset, independent trajectory) 4. Reflection Memory Module (LLM-generated verbal guidelines, cumulative string memory)",N/A,"Reasoning engine for all 3 agents: plans tool calls, reads retrieved multimodal content, generates answers, cross-checks answers, synthesises verbal memory guidelines",sun2025docagent
5,MDocAgent,ColBERT; ColPali; RAG; ReAct; Qwen2-VL,text retrieval; visual retrieval; retrieve-then-read paradigm; agent orchestration; VLM backbone,Multi-Page VRDU Model,N/A,N/A,"Design a multi-agent framework to integrate specialized agents from text/image understanding, critical information extraction and fianl answer prediction.",Multi-agents structure combining several LLMs/MLLMs.,N/A,LLMs/MLLMs are frozen and adopted as specialised agents. Llama-3.1-8B-Instruct is used as text agent and Qwen2VL-7B-Instruct used for others. ColBERTv2 and ColPali used as vision and language retriever.,han2025mdocagent
5,M3DocRAG,ColPali; Qwen2-VL; RAG,visual page retrieval; answer generation backbone; retrieval-augmented framework,Multi-Page VRDU Model,N/A,N/A,"Retrieves relevant document pages using ColPali visual embeddings rather than OCR, preserving visual information --> MLLM (Qwen2-VL)",PDF --> RGB images --> ColPali --> Retrieval --> MaxSim scoring --> MLLM Answer generation,N/A (ColPali + Qwen2VL pretrained),Qwen2-VL 7B for answer generation,cho2024m3docrag
